EventNo,Date,Time,U1,U2,U3,U4,I1,I2,I3,I4
2,19/2/2026,17:52:30.767,-0.14E+00,-0.05E+00,+0.05E+00,+0.00E+00,+0.76E+00,+14.48E+00,-15.61E+00,+4.937E+00
2,19/2/2026,17:52:30.767,-0.14E+00,-0.05E+00,+0.05E+00,+0.00E+00,+1.05E+00,+14.30E+00,-15.73E+00,+4.929E+00
2,19/2/2026,17:52:30.767,-0.14E+00,-0.05E+00,+0.05E+00,+0.00E+00,+1.36E+00,+14.13E+00,-15.84E+00,+4.914E+00
2,19/2/2026,17:52:30.767,-0.14E+00,-0.05E+00,+0.05E+00,+0.00E+00,+1.65E+00,+13.95E+00,-15.95E+00,+4.899E+00
2,19/2/2026,17:52:30.767,-0.14E+00,-0.05E+00,+0.05E+00,+0.00E+00,+1.94E+00,+13.76E+00,-16.05E+00,+4.883E+00
2,19/2/2026,17:52:30.767,-0.14E+00,-0.05E+00,+0.05E+00,+0.00E+00,+2.21E+00,+13.58E+00,-16.15E+00,+4.868E+00
2,19/2/2026,17:52:30.767,-0.14E+00,-0.05E+00,+0.05E+00,+0.00E+00,+2.50E+00,+13.38E+00,-16.24E+00,+4.853E+00
2,19/2/2026,17:52:30.767,-0.14E+00,-0.05E+00,+0.05E+00,+0.00E+00,+2.78E+00,+13.20E+00,-16.33E+00,+4.837E+00
2,19/2/2026,17:52:30.767,-0.14E+00,-0.05E+00,+0.05E+00,+0.00E+00,+3.05E+00,+13.02E+00,-16.42E+00,+4.815E+00
2,19/2/2026,17:52:30.767,-0.14E+00,-0.05E+00,+0.05E+00,+0.00E+00,+3.33E+00,+12.82E+00,-16.50E+00,+4.799E+00
2,19/2/2026,17:52:30.767,-0.14E+00,-0.09E+00,+0.05E+00,+0.00E+00,+3.60E+00,+12.64E+00,-16.57E+00,+4.776E+00
2,19/2/2026,17:52:30.767,-0.14E+00,-0.05E+00,+0.05E+00,+0.00E+00,+3.86E+00,+12.42E+00,-16.63E+00,+4.754E+00
2,19/2/2026,17:52:30.767,-0.14E+00,-0.05E+00,+0.05E+00,+0.00E+00,+4.12E+00,+12.22E+00,-16.71E+00,+4.731E+00
2,19/2/2026,17:52:30.767,-0.09E+00,-0.05E+00,+0.05E+00,+0.00E+00,+4.39E+00,+12.03E+00,-16.77E+00,+4.700E+00
2,19/2/2026,17:52:30.767,-0.14E+00,-0.05E+00,+0.05E+00,+0.00E+00,+4.65E+00,+11.81E+00,-16.82E+00,+4.677E+00
2,19/2/2026,17:52:30.767,-0.14E+00,-0.05E+00,+0.05E+00,+0.00E+00,+4.91E+00,+11.61E+00,-16.88E+00,+4.654E+00
2,19/2/2026,17:52:30.767,-0.14E+00,-0.05E+00,+0.05E+00,+0.00E+00,+5.17E+00,+11.41E+00,-16.92E+00,+4.624E+00
